fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 224148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0383520541321486	0.345246112705208	1365	675	0.0486797521894914	1	13528750
20210928 224309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0406761671360582	0.181976890818914	3085	339	0.0444450701475143	2	13658750
20210928 224501	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0372413270310499	0.3270720309217	6428	173	0.0432876087153563	3	13416250
20210928 224626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0461352327656932	0.2419947064179	5389	456	0.0447408325001015	4	13473750
20210928 224828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	212	TRUE	0.0315783171122894	0.355845490280772	3857	218	0.0504868171611452	5	13332500
20210928 225002	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	151	TRUE	0.0487046252996661	0.202473692983622	3612	580	0.0476473119859584	6	13841250
20210928 225134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.056096418548841	0.285749980501132	5958	396	0.0531521546816221	7	13100000
20210928 225230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0543781760083511	0.230504954154603	1732	875	0.0517957532310975	8	13097500
20210928 225427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	0.0291988094942644	0.250403116460657	4476	949	0.049251412214071	9	13671250
20210928 225619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0358801398756914	0.152332055794541	6730	642	0.0469111639964976	10	13673750
20210928 225831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	224	TRUE	0.0278256640136242	0.275277940620435	1243	476	0.0414027378341416	11	13831250
20210928 230253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	536	TRUE	0.0218371659098193	0.377799140872667	4702	246	0.0459776570557151	12	13837500
20210928 230622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	0.0332338036079891	0.386085374883842	5850	926	0.0419496810138226	13	13922500
20210928 230733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0428911042991094	0.125204041497782	2623	717	0.0425785683591967	14	13235000
20210928 230952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	295	TRUE	0.0226928834863938	0.212470972718438	2209	524	0.0542313497913419	15	13747500
20210928 231045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.0586207619528286	0.107232021000236	7266	757	0.0402063925960101	16	13238750
20210928 231201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	191	TRUE	0.0511612577014603	0.144476526618237	4982	989	0.0522936442479258	17	13513750
20210928 231303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0535203710305504	0.171924889682559	7515	123	0.0548605747152469	18	12731250
20210928 231714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	594	TRUE	0.0243816742803901	0.304610430718167	7964	833	0.0505656234758208	19	13452500
20210928 231856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0456939390623011	0.323677344536409	3100	320	0.0460073903020239	20	13713750
20210928 232310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	339	TRUE	0.0200081388535046	0.389829541792349	2467	282	0.0408919157361563	21	13978750
20210928 232555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	309	TRUE	0.0243033313211937	0.399837506604678	7950	995	0.0402007845797602	22	13106250
20210928 232832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0204024757597589	0.326814608454907	2020	205	0.0478801715626295	23	13556250
20210928 233111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	237	TRUE	0.0200579921790201	0.341562118452849	1232	556	0.0452435416104616	24	13407500
20210928 233542	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	398	TRUE	0.021334870365493	0.376190654949092	3433	320	0.0430990597255559	25	13982500
20210928 233811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0219994622653884	0.228598854935677	3781	296	0.0400478687567089	26	13731250
20210928 234111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	297	TRUE	0.0200914854031058	0.398556455791171	2718	291	0.0438604534246144	27	13693750
20210928 234345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	272	TRUE	0.0206624714057379	0.338333839527564	4578	346	0.0409459847002013	28	13533750
20210928 234659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	0.0269832219645411	0.384171380074697	3438	504	0.0414371709189524	29	13762500
20210928 234922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	0.0225791063344006	0.377656506485945	2821	318	0.0460182487055307	30	13738750
20210928 235153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	201	TRUE	0.0331475223296481	0.375728529109095	3803	270	0.0407710891043739	31	14083750
20210928 235401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.0310438575202042	0.375302490227762	6268	369	0.0406007373023194	32	13393750
20210928 235527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0333638415421123	0.37704435916322	3887	279	0.0479984005518431	33	13356250
20210928 235652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.0362482994332746	0.329388777830828	3744	460	0.0408393218526658	34	13452500
20210928 235804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0490649191268161	0.333268592722947	3482	521	0.0546544127813855	35	13272500
20210929 000011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	272	TRUE	0.0354465886411443	0.252643683010293	4539	791	0.045549360165277	36	13791250
20210929 000210	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0281563663257658	0.334848563054623	5939	431	0.0448493884110288	37	13221250
20210929 000427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	231	TRUE	0.0335370187820774	0.384949405398694	3859	745	0.0411886831566233	38	13968750
20210929 000619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0335410585910757	0.377019058821657	3022	192	0.0407506480607093	39	13983750
20210929 000928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	358	TRUE	0.0339933409214253	0.379288829592228	4291	194	0.0415392393403317	40	13658750
20210929 001122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0477200895830244	0.383300558868609	4011	239	0.0431245096917544	41	13923750
20210929 001300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	199	TRUE	0.0436859612611216	0.255371629025927	7393	858	0.047549371818325	42	12921250
20210929 001430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.0423441724189713	0.353418262442443	3037	253	0.0407190351791686	43	13617500
20210929 001753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	516	TRUE	0.0232295421812031	0.202746598414984	4938	579	0.0458615033447871	44	13863750
20210929 001906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0472703868273646	0.100224199597677	1339	182	0.0402118482695625	45	13138750
20210929 002221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0214774831080623	0.380860332728364	3430	332	0.0480075010812085	46	13978750
20210929 002506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.027659009337489	0.39987780615402	4212	268	0.0407359000901412	47	13651250
20210929 002621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0353112850273028	0.169212742519868	7309	481	0.0531053164251405	48	12445000
20210929 002823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0469599100030109	0.387901160004513	3826	212	0.0401031802136398	49	13788750
20210929 003102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	278	TRUE	0.0284520950386276	0.375338942720037	3727	354	0.0421296378755187	50	14076250
20210929 003458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	454	TRUE	0.0221827641537048	0.38247416479817	4352	628	0.0459743525874018	51	13695000
20210929 003639	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0376061973896224	0.375417305330116	3277	584	0.0408165598351711	52	14017500
20210929 003758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.0589485309775266	0.385595687431001	4221	949	0.0427037280115877	53	13846250
20210929 004037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0281087288654623	0.374951106900682	3226	400	0.0409164418313822	54	13965000
20210929 004252	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0246823924809186	0.37611329437953	3769	496	0.0415916400479937	55	13773750
20210929 004517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0379257348634784	0.375203776109006	3353	242	0.0424624116586123	56	14145000
20210929 004652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0349683069683527	0.375404480445217	1518	162	0.0413240839677829	57	14120000
20210929 004829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0342872553727549	0.375690250199993	3748	841	0.0424675359362012	58	13600000
20210929 005136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0398458821105508	0.374403989131029	3704	182	0.0407214278685229	59	14383750
20210929 005324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	0.0455313049799678	0.37368592919363	3032	181	0.0406281641710924	60	13911250
20210929 005743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	503	TRUE	0.0243598414725704	0.37318127219332	3697	154	0.0403295405207258	61	14082500
20210929 005907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0552417317522052	0.375885334476342	2075	103	0.0425936131815314	62	13920000
20210929 010133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.0281764992650289	0.378192988259104	1479	296	0.0401677696433865	63	14093750
20210929 010313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0458027388037996	0.376604371352459	1206	929	0.0411653028487365	64	14118750
20210929 010448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.036539217669352	0.376727624123269	1399	555	0.0483706776397509	65	13871250
20210929 010619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0464358689546374	0.374573347724883	3678	160	0.0407571509261794	66	13435000
20210929 010858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	333	TRUE	0.0215582283482701	0.23783833198566	3526	634	0.0542453654172528	67	13788750
20210929 011140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	401	TRUE	0.0214261863927543	0.178604903691565	3904	397	0.054838586672683	68	13522500
20210929 011358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	372	TRUE	0.020793215559274	0.149174655795563	5809	582	0.0482131209870917	69	13185000
20210929 011519	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	0.0520642284099385	0.32519857637086	2806	670	0.0405216156284232	70	13607500
20210929 011636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0431290055887587	0.113266044360586	4025	716	0.0495420128558797	71	13678750
20210929 011822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0487054878046084	0.165035752647091	2835	165	0.041764620742338	72	13907500
20210929 011959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0415162052139174	0.250959110533167	6337	176	0.0443813409575901	73	13441250
20210929 012201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0389062884127814	0.319905800063117	4493	971	0.0510444244034973	74	13992500
20210929 012318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	0.0482902412765287	0.380585049841693	1966	327	0.0513221047390229	75	13612500
20210929 012448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0507136843457445	0.34919594908217	5482	416	0.0459849967107456	76	13347500
20210929 012614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.024689241234893	0.10733393628723	2036	691	0.0472465832690126	77	13130000
20210929 012803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0343156245138776	0.181202687871014	3728	806	0.0536480731945508	78	13458750
20210929 013000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	219	TRUE	0.0575452237354498	0.362951068582083	7147	768	0.0462767185677786	79	13072500
20210929 013128	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	235	TRUE	0.0449140423418954	0.142139673411683	6752	781	0.0400089029454521	80	13298750
20210929 013342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0248007475621998	0.253932834990462	2968	805	0.0424002336509712	81	13573750
20210929 013631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	343	TRUE	0.0322401313572656	0.331597272007074	6604	340	0.0454429122604174	82	13571250
20210929 013740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0426982588306908	0.16824641653928	2358	358	0.0500099814038002	83	13178750
20210929 013955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0451989898534119	0.344411689389823	2412	524	0.043827748105498	84	14671250
20210929 014120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0425335653811786	0.233847760282992	2795	493	0.0516827680460748	85	12990000
20210929 014241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.0569477789729182	0.357932020959118	7762	268	0.0424417977528356	86	12912500
20210929 014433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	240	TRUE	0.0303236232159566	0.204933976346417	2798	962	0.042635681317203	87	13772500
20210929 014613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	234	TRUE	0.0329585188276786	0.184481219421653	5819	947	0.0460858680654853	88	13735000
20210929 014822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	346	TRUE	0.0264336030343268	0.165521876247576	5845	292	0.0525000608042907	89	13491250
20210929 014934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0592848337364849	0.28887075172253	1084	623	0.0512320512007026	90	12882500
20210929 015114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	222	TRUE	0.0399562031990383	0.223599429848976	7897	865	0.0429763810968259	91	13105000
20210929 015217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0426616546218377	0.134121307830885	4710	912	0.0428673832057486	92	13682500
20210929 015401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.0455021619546134	0.231516344097955	5214	378	0.0450783754633379	93	13823750
20210929 015633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0245414379593823	0.306255101090623	7856	144	0.0450942579448433	94	13370000
20210929 015759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0555580552421231	0.388019923993736	6117	926	0.0475638737022155	95	13103750
20210929 020000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0352774436873011	0.350821709502628	1661	605	0.0483159703241463	96	13498750
20210929 020136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0537186924440227	0.273702089368948	3474	1009	0.0436442888854642	97	13883750
20210929 020308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0403106564330589	0.228855523653096	3735	704	0.0444321747174102	98	13382500
20210929 020415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0572020490901917	0.19858814532028	2499	201	0.0474082293068792	99	14137500
20210929 020547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0539239807527047	0.379126087206556	5329	308	0.0439120284427947	100	13717500
