Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.111117744640998	0.0103720226512337	0.0077273627897761
ctrx_quarter	0.106151367189381	0.0171403611739986	0.00990687537150783
cpayroll_trx	0.0519211253066845	0.0189790245335857	0.00544878145432931
mcaja_ahorro	0.0417683802217925	0.00613902284170706	0.00703388151377056
mcuentas_saldo	0.030077849601187	0.0165611585287914	0.0117891816920943
mtarjeta_visa_consumo	0.0297083962840469	0.00663188620269786	0.00604319397661977
mpayroll	0.0224300698901566	0.0141684843200636	0.0059441252229047
mpasivos_margen_lag1	0.019365323161869	0.00372382703290186	0.00495343768575391
mprestamos_personales	0.0186540415688583	0.0189879599642697	0.00782643154349118
mactivos_margen	0.0163870000652664	0.0150705631739185	0.0130770754903903
ctarjeta_visa_transacciones	0.0143578895942971	0.00730971280201294	0.00733108777491579
Visa_msaldopesos	0.0134732028391549	0.00736311672179451	0.00881711908064197
mpasivos_margen	0.0119664975222639	0.0040602009938572	0.00485436893203884
mrentabilidad_annual_lag1	0.00992508972070721	0.00713960893911662	0.00792550029720626
Visa_msaldopesos_lag1	0.00985566123108179	0.00205206860604935	0.00445809391717852
Visa_mpagominimo	0.00956979252250052	0.00563621963193838	0.00703388151377056
mactivos_margen_delta1	0.00922001008869168	0.00672262158441681	0.00584505646918962
mpayroll_lag1	0.00827302171816096	0.00641241377581273	0.00614226273033485
ccomisiones_mantenimiento_delta1	0.00812866010457053	0.00693332303639742	0.00297206261145235
mcomisiones_otras_lag1	0.00712842449251338	0.0058684258875105	0.00802456905092134
Visa_msaldototal	0.00695497511737672	0.00692803392632899	0.00851991281949673
thomebanking	0.00657281106390949	0.00373177042388394	0.00386368139488805
cpayroll_trx_lag1	0.00587501486249039	0.00251823354383278	0.00148603130572617
mextraccion_autoservicio	0.00575870980609246	0.0010618962729972	0.000891618783435705
ctrx_quarter_delta1	0.00575230779145897	0.0112981085122062	0.00871805032692689
mactivos_margen_lag1	0.00574786419279422	0.0127191921226191	0.00752922528234595
mcuenta_debitos_automaticos	0.00524814621990194	0.0165752663589907	0.0068357440063404
cproductos	0.00506656479476658	0.00382294612268984	0.0045571626708936
mcuentas_saldo_delta1	0.00490921397654756	0.0109197983274886	0.00693481276005548
cproductos_delta1	0.00484119440239372	0.0036573391527738	0.00168416881315633
chomebanking_transacciones	0.00448261364621999	0.00900597160332153	0.00762829403606103
mcomisiones_lag1	0.00442974327197134	0.00555344355627694	0.00723201902120071
mprestamos_personales_lag1	0.00428852279876829	0.00411329014881358	0.00208044382801664
mprestamos_personales_delta1	0.004103339743993	0.0141926186477848	0.00554785020804438
mpasivos_margen_delta1	0.00408118349529574	0.00403204722541871	0.00505250643946899
mcaja_ahorro_lag1	0.00404129847952787	0.00371430274442691	0.00485436893203884
Master_fechaalta	0.00398016027086646	0.0126127627081829	0.00881711908064197
mrentabilidad_annual	0.00396946937913663	0.00476977286363317	0.00643946899148009
mrentabilidad_annual_delta1	0.00373076914116763	0.0060775906505411	0.00703388151377056
