fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 201143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0483107285019942	0.26492191607249	4408	475	0.0460669391746051	1	13293750
20210928 201334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0346500278408639	0.182394258173881	3198	771	0.047523154679744	2	13477500
20210928 201451	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	0.0424452071622945	0.27627150495653	4712	341	0.0433667190781562	3	13500000
20210928 201610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0398280390924774	0.355138189067366	2275	465	0.0530888188985409	4	13335000
20210928 201806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	201	TRUE	0.053959105853457	0.291686289316276	3953	574	0.0417171447042492	5	13787500
20210928 201952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	328	TRUE	0.0365736140878871	0.164449036510196	5588	299	0.0491153163113631	6	13315000
20210928 202124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0333532960661687	0.299337915747892	5088	740	0.0488706935486989	7	12995000
20210928 202251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0316849457351491	0.321217698523542	1244	673	0.0474416170461336	8	13361250
20210928 202406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0442879744502716	0.224189823762281	7831	529	0.054090121059271	9	12482500
20210928 202505	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0577957509113476	0.341040285448544	5471	180	0.0504851853252621	10	12832500
20210928 202713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	417	TRUE	0.0231744206990115	0.125227106916718	2754	206	0.0438645121238078	11	13720000
20210928 202845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	287	TRUE	0.0216586972270161	0.103324669110589	2405	974	0.0511482581809978	12	13250000
20210928 202944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0594081253842451	0.19658948410186	6196	921	0.0446484289871878	13	13728750
20210928 203056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0401762579502538	0.140134461423149	1664	994	0.0411968639789266	14	13475000
20210928 203309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	294	TRUE	0.0289271343848668	0.375971032661619	6830	114	0.0518331043735961	15	13157500
20210928 203520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	350	TRUE	0.0263651003772393	0.235447864155285	7328	387	0.0428906540223979	16	13311250
20210928 203644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0556855375762098	0.336191263073124	3583	863	0.0523792913666111	17	13138750
20210928 203750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0467865033857524	0.213396962489933	1787	273	0.0454793484100373	18	13727500
20210928 204008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	445	TRUE	0.0257121565886773	0.156800286429934	6261	650	0.0542988838448073	19	13150000
20210928 204156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	229	TRUE	0.0506769989323802	0.386838297832292	7099	831	0.0406916380445473	20	13417500
20210928 204253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0599718399267006	0.201137298486414	1597	514	0.0425531904536751	21	13227500
20210928 204416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0305991910939954	0.163339464424287	2389	193	0.0453830117702059	22	13212500
20210928 204539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0490649191268161	0.333268592722947	3482	521	0.0546544127813855	23	12675000
20210928 204656	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0525447259755066	0.186320100844147	2700	515	0.0449752009483042	24	13751250
20210928 204822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	207	TRUE	0.0483405578129844	0.222322284893205	4349	439	0.0446151608146565	25	13491250
20210928 204941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0542217297581433	0.132768020587814	4042	984	0.0429714032905006	26	13728750
20210928 205042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0509374689086176	0.176245629262527	1706	278	0.0419222315283198	27	12822500
20210928 205218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0354465886411443	0.252643683010293	4539	791	0.045549360165277	28	13552500
20210928 205349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0281563663257658	0.334848563054623	5939	431	0.0448493884110288	29	13046250
20210928 205504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0477200895830244	0.383300558868609	4011	239	0.0431245096917544	30	13293750
20210928 205626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0436859612611216	0.255371629025927	7393	858	0.047549371818325	31	13186250
20210928 205839	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	363	TRUE	0.0232295421812031	0.202746598414984	4938	579	0.0458615033447871	32	13278750
20210928 205944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0472703868273646	0.100224199597677	1339	182	0.0402118482695625	33	13280000
20210928 210149	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.0214774831080623	0.380860332728364	3430	332	0.0480075010812085	34	13281250
20210928 210349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0353112850273028	0.169212742519868	7309	481	0.0531053164251405	35	12738750
20210928 210544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0215582283482701	0.23783833198566	3526	634	0.0542453654172528	36	13182500
20210928 210744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	326	TRUE	0.0214261863927543	0.178604903691565	3904	397	0.054838586672683	37	12955000
20210928 210946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	374	TRUE	0.020793215559274	0.149174655795563	5809	582	0.0482131209870917	38	13151250
