Feature	Gain	Cover	Frequency
mcaja_ahorro	0.081513295573211	0.0189921847717011	0.0156733347081873
ctrx_quarter_lag1	0.0728693651215054	0.0128276374918133	0.0105176325015467
ctrx_quarter	0.0714785638903203	0.021735636140259	0.0113425448546092
ctarjeta_visa_transacciones	0.0577323457332804	0.0188501394635696	0.0158795627964529
cpayroll_trx	0.0475840097677409	0.0243403748181453	0.00598061455970303
Visa_mpagominimo	0.0451536950830338	0.0114622950873017	0.0103114044132811
mcaja_ahorro_lag1	0.0416027265848328	0.0104079168606514	0.0140235100020623
mpayroll	0.0350299956536859	0.0260100901210481	0.00969272014848422
mactivos_margen	0.0287134933431859	0.0217204151842316	0.018560527943906
ctarjeta_visa_transacciones_lag1	0.0274315396107579	0.00575148760347425	0.00845535161889049
mprestamos_personales	0.0173030889667128	0.0244486039968215	0.00721798308929676
ctarjeta_debito_transacciones_lag1	0.0135449093381722	0.00342086480054911	0.00598061455970303
Visa_msaldototal	0.0134812167779315	0.00985209081047006	0.00989894823674985
cpayroll_trx_lag1	0.0127672479906852	0.00976923297331651	0.00288719323571871
mpayroll_lag1	0.0123205136789342	0.0125929352494198	0.00928026397195298
mprestamos_personales_lag1	0.0115562425560903	0.00556457907056239	0.00350587750051557
ccomisiones_mantenimiento_delta1	0.0102329661613788	0.0126532459187928	0.0047432460301093
mautoservicio	0.00977729425540223	0.00971669687061165	0.00886780779542174
mrentabilidad_lag1	0.00969311776378803	0.00871208603951154	0.00804289544235925
ccomisiones_otras_lag1	0.00942655154951244	0.00348787306035135	0.00371210558878119
mactivos_margen_delta1	0.00910447966280118	0.00815278870540167	0.00907403588368736
mrentabilidad	0.00831125392669831	0.00579925820187779	0.00536193029490617
mactivos_margen_lag1	0.00755671686907432	0.0131807424094564	0.0103114044132811
Master_status_delta1	0.00715981033781685	0.0039407485020913	0.00164982470612497
mcomisiones_mantenimiento	0.00705325318056885	0.00359634259423969	0.00288719323571871
mcomisiones_otras_lag1	0.00669739800945443	0.00763335798098996	0.0107238605898123
mcuenta_debitos_automaticos	0.00658564721214808	0.0173956530086651	0.00742421117756238
thomebanking	0.00643813590216598	0.00584508746972212	0.0047432460301093
mcaja_ahorro_delta1	0.00596766433963499	0.00938502978900099	0.00845535161889049
mprestamos_personales_delta1	0.00532504526358165	0.0134041849346065	0.00433078985357806
Visa_Fvencimiento_lag1	0.00511148365372696	0.00264753577228577	0.00536193029490617
ctrx_quarter_delta1	0.00474706468280171	0.0149913520888021	0.00907403588368736
cplazo_fijo	0.00463112339589332	0.0186351602152146	0.00412456176531244
mpayroll_delta1	0.00457450105191454	0.00932285636673432	0.00701175500103114
Visa_mconsumototal	0.00456769572608449	0.00426801523443441	0.00371210558878119
cproductos_delta1	0.0044438424881208	0.00364099319710163	0.00144359661785935
ccallcenter_transacciones_delta1	0.00426604272495739	0.00858211858078771	0.00371210558878119
active_quarter	0.00424422728558126	0.000109301532699428	0.000206228088265622
cproductos	0.00419610008900565	0.00567907135139991	0.00536193029490617
mcomisiones_lag1	0.00403447390504886	0.00545439469468008	0.00742421117756238
mpagomiscuentas	0.00400774495088095	0.00830660217449453	0.00494947411837492
Visa_status	0.00395116130507115	0.00768641177184394	0.0018560527943906
cextraccion_autoservicio	0.00394902669422254	0.00246793958448029	0.00309342132398433
chomebanking_transacciones	0.00359559823521274	0.00551517220783036	0.00639307073623428
ctarjeta_visa_transacciones_delta1	0.00332295349247537	0.00852463670737247	0.00536193029490617
canarito76	0.00320824982004243	0.0100178665735802	0.00969272014848422
Master_fechaalta	0.00318261834171882	0.00616059528553513	0.00928026397195298
Visa_mconsumospesos	0.00314819982240028	0.00842151045473759	0.00886780779542174
Visa_fechaalta_lag1	0.00304415800978853	0.00394595311687624	0.00639307073623428
canarito26	0.00290864864752905	0.00512782129467954	0.00721798308929676
mcomisiones_mantenimiento_delta1	0.00275297752326636	0.00260602827604351	0.00123736852959373
cliente_edad_lag1	0.00272902614137581	0.0068861213598856	0.00742421117756238
ccomisiones_otras	0.00271080721929995	0.00626292189486823	0.00453701794184368
Master_fechaalta_lag1	0.00265643967570359	0.00650827834425932	0.00969272014848422
ccomisiones_mantenimiento	0.00257083618710818	0.00344083277201532	0.00288719323571871
Master_Fvencimiento_lag1	0.00255480623019532	0.00174435021847341	0.00453701794184368
tcallcenter	0.00250498725228011	0.00446153815789445	0.00164982470612497
Visa_fechaalta	0.00245942818972172	0.00769655753512365	0.00866157970715612
Master_status	0.0024008909566094	0.00803970157811177	0.0018560527943906
canarito48	0.002255267004744	0.00441294942732667	0.0065992988244999
mcomisiones_otras	0.00225057351308385	0.00440139851049934	0.00577438647143741
canarito33	0.00222878527011178	0.00336777865418581	0.00536193029490617
ccajas_consultas_delta1	0.00214828401642334	0.00834322861104505	0.00164982470612497
canarito41	0.00214475046795559	0.0040241055385315	0.00742421117756238
mcomisiones_mantenimiento_lag1	0.00214405431862393	0.00488755852689859	0.00329964941224995
mcomisiones_otras_delta1	0.00207996232512403	0.00133533498072488	0.00206228088265622
mcuenta_debitos_automaticos_lag1	0.0020788008017982	0.00393427277801163	0.00433078985357806
Visa_Fvencimiento	0.00205130161676496	0.00429262391038027	0.0065992988244999
Master_msaldopesos	0.00204973742589539	0.00301514058032	0.00226850897092184
canarito11	0.00202230533971827	0.00293687722548993	0.00577438647143741
chomebanking_transacciones_lag1	0.00201796462968053	0.00459786116309191	0.00556815838317179
Visa_mpagominimo_lag1	0.00200873523500932	0.00493103508699377	0.00763043926582801
canarito51	0.00195065321434497	0.00497749297616204	0.00494947411837492
canarito50	0.00190885433051517	0.00447468836132533	0.00536193029490617
tmobile_app	0.00185182849606456	0.00854245072636108	0.00164982470612497
mrentabilidad_delta1	0.0018170517073152	0.00214338147048884	0.00371210558878119
canarito47	0.00181080717039935	0.00331019046981138	0.00515570220664054
Master_Fvencimiento	0.00179530155499531	0.0021717572521627	0.00536193029490617
Visa_msaldototal_delta1	0.00176985965267013	0.00105463707072484	0.00309342132398433
canarito60	0.0017635400995211	0.00264229880199151	0.0047432460301093
Visa_msaldototal_lag1	0.00174074121961509	0.0036223934014581	0.00598061455970303
canarito37	0.00170383394986093	0.00199618701415978	0.0047432460301093
cmobile_app_trx	0.001657230501369	0.00239873115004427	0.00206228088265622
canarito14	0.00165510939908445	0.00262619500278126	0.00515570220664054
canarito59	0.00163439471446584	0.00326737488654945	0.00536193029490617
canarito67	0.00163260788343432	0.00186371431457144	0.00350587750051557
