fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20211008 183640	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	361	TRUE	0.032437521725893	0.202698743052315	2787	1212	0.0391349554979242	2	107206250
20211008 193557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	757	TRUE	0.0354702600234887	0.269968133426737	3846	793	0.0250449401360238	3	104001250
20211008 200157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0509053873537341	0.330669536055066	1800	890	0.0326864914337639	4	104022500
20211008 202624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	231	TRUE	0.0401914919799892	0.307681992431171	2564	1247	0.0397746915774187	5	104088750
20211008 205843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	412	TRUE	0.039353315183369	0.213351884258445	2891	925	0.0316998416013084	6	106598750
20211008 212204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	236	TRUE	0.04339514606382	0.292493097723927	3369	509	0.0453231019846862	7	104998750
20211008 213219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.0229857646145392	0.313329644040205	2233	1045	0.0207252057220321	8	83490000
20211008 221003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	377	TRUE	0.0300421742107719	0.353240004295949	3434	1131	0.0460673933543731	9	106115000
20211008 223615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	306	TRUE	0.0463988945366582	0.246769329684321	3617	1034	0.0424371374619659	10	104878750
20211008 233038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	583	TRUE	0.0182324751635897	0.327805516864173	3123	598	0.0377122073605424	11	106671250
20211008 234555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0551497263087658	0.233403435016517	1690	973	0.0496001400578534	12	99948750
20211009 002038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	274	TRUE	0.0247292914241552	0.362903524455614	1213	1386	0.0435932257553795	13	105958750
20211009 005014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0585945125137805	0.389888387678657	2090	704	0.0287261743796989	14	102741250
20211009 011555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.057006873973296	0.379308169293217	1509	1336	0.0298182909945026	15	104890000
20211009 031022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1134	TRUE	0.0150562867649132	0.288199785540346	3930	1100	0.0342838085939875	16	108510000
20211009 034539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0213828548897873	0.228473093591165	1447	832	0.0363674916679738	17	107172500
20211009 035535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.0275026408002013	0.397238090585452	2429	580	0.0217853666837327	18	85583750
20211009 042156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.048487279079156	0.276695366867352	1075	660	0.0239446293957299	19	103696250
20211009 044355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.0351932574544335	0.344590016503353	1978	750	0.048197834105813	20	103861250
20211009 051455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	360	TRUE	0.0521086411611177	0.259751396353822	3006	1280	0.0270339533998631	21	104340000
20211009 055824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	615	TRUE	0.0285298007965348	0.200157959073219	3999	840	0.0356066662086606	22	106735000
20211009 064436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	592	TRUE	0.0150284213894571	0.200256230503305	3200	1400	0.0374194417096336	23	106101250
20211009 071635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	403	TRUE	0.0243001316389818	0.20022177221823	2763	725	0.0427413148219614	24	106462500
20211009 081257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	623	TRUE	0.0234864142024158	0.343736876635513	3957	1397	0.033271581574193	25	106972500
20211009 093247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1069	TRUE	0.015420025961255	0.247844439484701	3967	757	0.0320969885915973	26	107688750
20211009 095208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0340844524741895	0.2005691265494	1001	1384	0.0341204192686104	27	103356250
20211009 103347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	528	TRUE	0.0372520702901409	0.254788400201563	4000	961	0.0299784229899205	28	105410000
20211009 120019	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	861	TRUE	0.0181858502995913	0.250880599726017	2953	882	0.033964903480403	29	108763750
20211009 133145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	949	TRUE	0.015005538667754	0.393157009354687	3080	975	0.0334676302510599	30	108202500
