Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.112619478976492	0.0132314765598963	0.00761388566266615
mcaja_ahorro	0.0422602228278625	0.0111193487413498	0.00942057039618015
ctrx_quarter	0.0410825900251381	0.015314473250004	0.0101948638534004
mcuentas_saldo	0.0349497839691949	0.0138715889315914	0.0113563040392309
cpayroll_trx	0.0344964021636169	0.0176937143210189	0.003613369467028
Visa_msaldototal	0.0296681726108608	0.00764367060957336	0.00761388566266615
ctarjeta_visa_transacciones	0.0222855342657226	0.0113500141019261	0.00903342366757001
mpayroll_lag1	0.0212646914714846	0.0115046872323814	0.00683959220544586
mpasivos_margen_lag1	0.0210086254223702	0.00440341522648179	0.00593624983868886
mactivos_margen	0.0209598184425428	0.0172429526265492	0.0138082333204284
mcaja_ahorro_lag1	0.0173569189082342	0.00358833374523695	0.00477480965285843
mpayroll	0.0172709504796107	0.0203763308822242	0.00851722802942315
mprestamos_personales	0.0162993965867273	0.0191412068411533	0.00516195638146858
cpayroll_trx_lag1	0.0158257328020077	0.00816246792687458	0.00232288037166086
mtarjeta_visa_consumo	0.0125580992519372	0.0090104499792616	0.00813008130081301
Visa_mpagominimo_lag1	0.0124141745152878	0.00319379542702682	0.00477480965285843
Visa_msaldopesos_lag1	0.011232584876131	0.00343024258890019	0.00542005420054201
mactivos_margen_lag1	0.0100836366220266	0.0108307228119223	0.00748483675312944
Visa_mconsumototal	0.00898217974770308	0.00487139634522726	0.00554910311007872
mprestamos_personales_lag1	0.00863202688154742	0.0063934091231341	0.00335527164795458
matm	0.00816830671924512	0.000755589265490473	0.00167763582397729
mautoservicio_lag1	0.00812222278775056	0.0037773363208935	0.00606529874822558
mactivos_margen_delta1	0.00808395233630284	0.00263151525088835	0.00477480965285843
mrentabilidad_annual_lag1	0.0074038701510151	0.0072989903817912	0.00645244547683572
Visa_mpagominimo	0.00723305416387078	0.00850176749897719	0.00916247257710672
mcomisiones_otras_lag1	0.00698021440844936	0.00621386164913993	0.00709769002451929
ccomisiones_mantenimiento_delta1	0.00687959176777116	0.00790784654785072	0.00232288037166086
mcuentas_saldo_lag1	0.00646285121993314	0.0021646016436209	0.00438766292424829
ctrx_quarter_delta1	0.00616150097640828	0.0106954306507231	0.00632339656729901
Visa_mpagospesos_lag1	0.00601721712723555	0.00402272472020847	0.00787198348173958
Visa_fechaalta	0.00593272549816346	0.0039089817037517	0.00606529874822558
mcomisiones_lag1	0.00593186814920845	0.00432001672107544	0.00606529874822558
mpasivos_margen_delta1	0.0059278816858559	0.00419955368671206	0.00490385856239515
mcomisiones_mantenimiento	0.00589088965189964	0.00365932657377772	0.00283907600980772
thomebanking	0.00573292970896653	0.00440137303061082	0.002710027100271
mcomisiones_mantenimiento_delta1	0.00495126008127638	0.00342978508398105	0.00141953800490386
cproductos_delta1	0.00484185536995969	0.00406900896786224	0.00154858691444057
Visa_msaldopesos	0.00443208924581256	0.00605345313093011	0.00696864111498258
mcuenta_debitos_automaticos	0.00440972806548974	0.0137869969350917	0.00529100529100529
mprestamos_personales_delta1	0.00418105982054592	0.0146490621823811	0.00374241837656472
mtransferencias_recibidas_lag1	0.00403763948720702	0.00394039704153317	0.00542005420054201
mrentabilidad_annual	0.00402729643876202	0.00442925099340148	0.00554910311007872
ctarjeta_debito_transacciones	0.00393002705641049	0.0060030679152692	0.00580720092915215
mpayroll_delta1	0.00391059611970381	0.0100587263591502	0.00490385856239515
mcuentas_saldo_delta1	0.00374601938552214	0.00635032740991437	0.00645244547683572
cliente_edad	0.00371614546600746	0.00799510400779249	0.00748483675312944
mpasivos_margen	0.00360615796172874	0.0040448043054369	0.003613369467028
chomebanking_transacciones	0.0035986635485249	0.00576430007626972	0.00477480965285843
Master_fechaalta	0.00347888504529128	0.00896798821835984	0.00813008130081301
chomebanking_transacciones_lag1	0.00341964500214399	0.00564150973427415	0.00580720092915215
cproductos	0.00340848671421343	0.00504538745513091	0.00400051619563815
mcomisiones_otras	0.00325732587492547	0.00245391383042708	0.00477480965285843
canarito20	0.0032089652260156	0.00443058704037552	0.00645244547683572
mrentabilidad_annual_delta1	0.00315136573862762	0.00430193864626303	0.00438766292424829
Master_status	0.00303563445011124	0.0051168444190969	0.00141953800490386
Master_status_delta1	0.0028974974941724	0.00326731779363505	0.000774293457220287
mtransferencias_recibidas	0.00272963982498921	0.00473996976906952	0.00400051619563815
mcaja_ahorro_delta1	0.00271623946395329	0.00801527400727143	0.00632339656729901
