Feature	Gain	Cover	Frequency
mcaja_ahorro	0.100652438105202	0.0230822296216703	0.0166244012397859
mpayroll	0.0657226275038945	0.0388363211101188	0.0166244012397859
ctrx_quarter_lag1	0.0423011420811972	0.0160341170170252	0.0132431670893209
ctrx_quarter	0.0383131300713334	0.0101332548215262	0.00732600732600733
ctarjeta_visa_transacciones	0.0284232688925219	0.0119182856495312	0.00873485488870104
Visa_mpagospesos_lag1	0.0234727212907724	0.00990281747220669	0.0143702451394759
Visa_madelantopesos	0.0219952604679092	0.00126162606602487	0.000986193293885602
ccomisiones_otras	0.0171890227452218	0.00997140789670742	0.00873485488870104
Visa_cadelantosefectivo	0.0168474715699758	0.001300426739972	0.000422654268808115
mrentabilidad_lag1	0.0166044496545968	0.0162122997530689	0.0156382079459003
active_quarter_lag1	0.016505291175943	0.000959594651073411	0.000563539025077487
mactivos_margen_lag1	0.0156553467072873	0.0192481535303483	0.0118343195266272
mprestamos_personales	0.0150712690285231	0.0160483140609165	0.00464919695688927
Visa_cconsumos	0.0148786317004706	0.00253680910688504	0.00338123415046492
cpayroll_trx_lag1	0.0146990036607542	0.00798897977182581	0.00211327134404057
ccomisiones_mantenimiento_delta1	0.0136989918779268	0.0135619236619174	0.00450831220061989
mactivos_margen	0.0135800924897562	0.00941290237215275	0.00521273598196675
mautoservicio_delta1	0.0130292164061301	0.00501424166138797	0.00450831220061989
Visa_msaldototal_lag1	0.0126500125130433	0.009486947433926	0.0160608622147084
Visa_mpagospesos	0.0119550159812732	0.00406193443068895	0.00507185122569738
mextraccion_autoservicio_lag1	0.0119420600578349	0.00279395138613698	0.00267681036911806
cproductos	0.0102628393449267	0.0104725632338427	0.00901662440123978
mautoservicio	0.0093491958057967	0.0104959273155315	0.00915750915750916
mcomisiones_otras_lag1	0.00905172396552923	0.0129457463542713	0.0156382079459003
mcuenta_debitos_automaticos	0.00882608322151825	0.016748371637782	0.00986193293885602
Master_fechaalta	0.00866506769151243	0.0164971898064713	0.019723865877712
Visa_mconsumototal	0.00843643499263394	0.00832517526292835	0.0123978585517047
ctarjeta_debito_transacciones	0.00768840974779289	0.00239109816685409	0.00225415610030995
cpayroll_trx	0.00745641490317695	0.00797928194505509	0.00169061707523246
chomebanking_transacciones_lag1	0.007106385366268	0.0065244486927545	0.0064806987883911
mpagomiscuentas	0.00674536409753488	0.00650001054396684	0.00281769512538743
ctarjeta_debito_transacciones_lag1	0.00645121019251024	0.00322977596752511	0.00408565793181178
mprestamos_personales_lag1	0.00622557578183377	0.00592175966960597	0.00225415610030995
mcomisiones_mantenimiento_delta1	0.00599989345735396	0.00249704052363369	0.000986193293885602
Visa_status	0.00586781343387226	0.00794196748023315	0.00225415610030995
ctarjeta_visa_transacciones_delta1	0.00562821582472176	0.011744514706542	0.0064806987883911
cprestamos_personales_lag1	0.00547160755975025	0.0032176614897819	0.00140884756269372
mpayroll_lag1	0.00521812540020947	0.00602237228063617	0.0029585798816568
mcaja_ahorro_delta1	0.0049660447871997	0.00970321271765884	0.0064806987883911
mpayroll_delta1	0.00476927732377894	0.0138511443288842	0.00817131586362356
ctrx_quarter_delta1	0.00473434037150844	0.0101219240380906	0.00521273598196675
Visa_mpagominimo	0.00469625275003296	0.00428666423740165	0.0019723865877712
mtransferencias_emitidas_lag1	0.00466928486809886	0.0036684917876736	0.00535362073823612
cprestamos_personales	0.00448154128967012	0.00208612555653302	0.00140884756269372
Visa_mpagominimo_lag1	0.00445269754725247	0.00439666244639476	0.0054945054945055
catm_trx	0.00413469450048077	0.000886729814193698	0.000986193293885602
Visa_mconsumospesos_lag1	0.00407301536809059	0.00312214133060715	0.00450831220061989
mprestamos_personales_delta1	0.00406340645842089	0.0108681352773273	0.00394477317554241
thomebanking	0.00404129409682265	0.006437808320874	0.00225415610030995
mcomisiones_delta1	0.00397865671719335	0.00532965832533044	0.00605804451958298
matm	0.00395653274186055	0.00375302461510134	0.00436742744435052
mcomisiones	0.00392308190654902	0.00408205133277645	0.0064806987883911
cliente_edad	0.00392280089195328	0.00909480990732731	0.00986193293885602
canarito69	0.00391993806157662	0.00594799001175048	0.0115525500140885
cproductos_delta1	0.00375061200110398	0.0048323996037167	0.00140884756269372
Master_msaldototal	0.00368945159876928	0.00356216851174846	0.00464919695688927
ccomisiones_mantenimiento	0.00354030632463928	0.0028621577692041	0.00183150183150183
canarito51	0.00351710344881167	0.00857088060095003	0.0084530853761623
mactivos_margen_delta1	0.00343281545106275	0.00928170070482094	0.00380388841927303
tcallcenter	0.00342329471413151	0.00748292556469593	0.00281769512538743
canarito3	0.00307011535693348	0.0035410743334925	0.00803043110735418
canarito77	0.00300469113190588	0.00607678127268596	0.00873485488870104
canarito7	0.00295717144615912	0.00481148651816927	0.00873485488870104
canarito67	0.00292601074794936	0.00410073198234801	0.00803043110735418
canarito85	0.00291671192029551	0.00461029564127773	0.00887573964497041
ctarjeta_visa_debitos_automaticos_lag1	0.0028692447067699	0.00202833200420652	0.00338123415046492
mrentabilidad_delta1	0.00285550725632134	0.00144508234663254	0.00267681036911806
Master_msaldopesos	0.00283408458709133	0.0026639611665795	0.00253592561284869
canarito15	0.00278279310449978	0.00440379999694141	0.00732600732600733
Master_mconsumospesos	0.00277493074311882	0.000460962122705285	0.00126796280642435
canarito43	0.00275204439973702	0.00463929857523563	0.00732600732600733
Visa_mlimitecompra_lag1	0.00268003796335939	0.00499676621501458	0.00577627500704424
canarito81	0.00261849858563582	0.00357088906235073	0.00690335305719921
canarito17	0.00256746146012563	0.00482814704735426	0.00577627500704424
mttarjeta_visa_debitos_automaticos_delta1	0.00256315744043694	0.0057885378818876	0.00422654268808115
canarito57	0.00255850176458666	0.00626749375078725	0.00817131586362356
Visa_fechaalta_lag1	0.00255066319085725	0.00494395895674889	0.00760777683854607
canarito47	0.00253914200177253	0.00420800131156082	0.0064806987883911
ccallcenter_transacciones_delta1	0.00252628425018	0.00492222783172498	0.00126796280642435
canarito75	0.00252607521410321	0.00288443529464168	0.00662158354466047
