Feature	Gain	Cover	Frequency
ctarjeta_visa_transacciones/cpayroll_trx	0.0491950043931176	0.0106053982396409	0.00444293240894839
mtarjeta_visa_consumo/cpayroll_trx	0.0446980975811082	0.00828364050017611	0.0042792647829565
mtarjeta_visa_consumo	0.0335519747507456	0.00943501446330482	0.00839302297783131
mcaja_ahorro	0.0320293383174895	0.00934596375074624	0.00997453037505632
mcaja_ahorro_lag1	0.0237379501492632	0.00748536714811264	0.00962880550217457
mcaja_ahorro_lag2	0.0229092629286636	0.00528320879761709	0.00831578657005986
mtarjeta_visa_consumo/mdescubierto_preacordado	0.0208179233641675	0.0107043917606574	0.00971155879621542
ctarjeta_visa_transacciones	0.0151659026151755	0.00931238958658817	0.00925365723585608
ctarjeta_visa_tend1	0.0141803751222762	0.00182306714869023	0.000432156091102182
ccomisiones_mantenimiento_tend1	0.0105952902400381	0.00464021355721788	0.00427558685877691
cproductos_tend1	0.00914544552687514	0.00646982416725174	0.00214790772088233
mcaja_ahorro_tend1	0.00911585765147947	0.00466431947741244	0.00689426887464715
mv_msaldototal	0.00883359228534918	0.00389844029130472	0.00638855429995311
mrentabilidad_annual	0.00852981066537364	0.00518559202901975	0.0047040650256995
mrentabilidad_annual_tend1	0.00763987992841312	0.00542872480781435	0.00687587925374918
mcomisiones_mantenimiento_tend1	0.00669417574227067	0.0051989862209431	0.00547459014132424
mvr_mpagospesos	0.00604125473534302	0.00256065478270324	0.0032200226192337
mcaja_ahorro_delta1	0.00587839824525378	0.00520762343530108	0.00393721783425435
mrentabilidad_annual_lag2	0.00549511391751205	0.0045048876526003	0.0051766782827772
mcaja_ahorro_delta2	0.00503778367535686	0.00343312842821801	0.00450177919582188
cproductos	0.00481494386789777	0.011979809315832	0.00271430804453966
mrentabilidad_annual_delta1	0.00475685018293969	0.00357269592504357	0.00497071452871999
Master_status_delta2	0.00471225662577467	0.000155105955384931	0.000194929981518431
mtransferencias_recibidas	0.00444246220242595	0.00620687408938441	0.00420018941309525
ctarjeta_visa_delta2	0.00431354756536203	0.000310812656827059	0.000130566308375553
mcomisiones_mantenimiento	0.00420710768589553	0.00699571284394889	0.00267936776483353
internet	0.00419882926179257	0.00069749024324324	0.00132589166674329
ctarjeta_master_tend1	0.00412823380927415	0.00203882769402135	0.000592145792914479
cliente_edad_lag2	0.0040691619508096	0.00556584876309749	0.00529253289443438
mrentabilidad_annual_delta2	0.00402886330143716	0.00353844660606733	0.00413030885368298
mextraccion_autoservicio	0.00401668951654204	0.00187966231758232	0.00250282740421306
mextraccion_autoservicio_tend1	0.00401047166461691	0.00338242475819247	0.00461395588329947
mtransferencias_recibidas_tend1	0.00393650301002124	0.00276555071186821	0.00542126024072014
mv_cconsumos	0.00393127653613825	0.00248029976317076	0.00433627260774019
Visa_msaldototal	0.00386285286307153	0.00317763451230902	0.00635361402024697
ctransferencias_recibidas_tend1	0.00363705078891097	0.00231163539534634	0.00497071452871999
chomebanking_transacciones_tend1	0.0036155439233485	0.00284518732520907	0.00498726518752816
cliente_edad_lag1	0.00349314079455263	0.00460852640626603	0.00432891675938101
mextraccion_autoservicio_lag2	0.00348313262067431	0.00166400763123227	0.00278051067977234
Visa_fechaalta_lag2	0.00340246640568765	0.00311090472961294	0.00504795093649145
cliente_edad	0.0033853827292877	0.00422163033745488	0.00423512969280138
Master_Fvencimiento_lag2	0.00320618725446118	0.00259974620567858	0.00485302095497301
Visa_msaldototal_lag1	0.00318688550312337	0.00228705192376495	0.0044355765605892
Visa_fechaalta	0.00317162499494835	0.00311323872248365	0.00478681831974034
Visa_fechaalta_tend1	0.00316846542225826	0.00403151609958845	0.00563274088104674
Visa_fechaalta_lag1	0.00313857315160006	0.00283112693914479	0.0045937273003117
tmobile_app_delta1	0.00311780937480285	0.00231054725872731	0.00284671331500501
Visa_mlimitecompra	0.00310611771294999	0.00248520951149802	0.00349586693270318
cmobile_app_trx_tend1	0.00307072281017473	0.00235919905079879	0.00424248554116057
Visa_mlimitecompra_lag2	0.00303661700599151	0.0026634575578927	0.00344253703209908
ctarjeta_visa_transacciones_tend1	0.00301789560418494	0.00312368851200364	0.00442638175014022
Visa_Fvencimiento_tend1	0.00295562496905429	0.00226458065365104	0.00386733727484208
Master_Fvencimiento_tend1	0.00295536327426601	0.00277252982025512	0.00427558685877691
Visa_mlimitecompra_lag1	0.00290049639456418	0.00263715852658619	0.00320531092251533
